id,title,address,longitude,latitude,identifier,lunch_duration_in_minutes,company_id,city_id,enabled,created_at,updated_at,phone,short_title
2060,"Бэст Прайс Казахстан ТОО E1086, г. Уральск пр-т Абая,стр.103","проспект Абая, 103, Уральск, Западно-Казахстанская область, Казахстан",51.3908653169029,51.220678199702,,"0",72,29,"0",2026-03-05 10:53:06,2026-03-05 10:53:06,7775335330,"Фикс Прайс ТД Grand Plaza, Абая 103"
2061,склад алматы,"улица Байтурсынова, Алматы, Казахстан",76.925654481169,43.2563869289502,,"0",477,2,"0",2026-03-05 11:25:24,2026-03-05 11:25:24,7523663241,склад алматы
2062,Бэст Прайс Казахстан ТОО г.Костанай Е9552 г.Тобыл Тәуелсіздік 51,"проспект Тауелсиздик, 51, Тобыл, Костанайский район, Казахстан",63.6971432206401,53.2101117926604,,"0",72,56,"0",2026-03-05 15:03:18,2026-03-05 15:03:18,7051097981,Фикс Прайс Тобыл Тәуелсіздік 51
2063,АНВАР ТОО г. Актобе,Улица Богенбай батыра 32б,57.18552,50.264695,,"0",162,5,"0",2026-03-05 17:46:30,2026-03-05 17:46:30,7011211534,Анвар Гипер Болашак
2064,Бэст Прайс Казахстан ТОО г. Алматы ул.Е 1059 Муратбаева 63,"улица Гани Муратбаева, 63, Алматы, Казахстан",76.9171326074138,43.2625274963127,,"0",72,2,"0",2026-03-06 15:00:58,2026-03-06 15:00:58,7121212121,Фикс прайс Муратбаева 63
2066,Бэст Прайс Казахстан ТОО г.Костанай  Гоголя 68 Е1193,"улица Гоголя, 68, Костанай, Казахстан",63.633218357082,53.2094889362498,,"0",72,56,"0",2026-03-06 18:09:14,2026-03-06 18:09:14,7051097981,Фикс Прайс  Гоголя 68
2067,"Бэст Прайс Казахстан ТОО г. Темиртау Е-1284 пр-т Металлургов,стр.9а","проспект Металлургов, 9А, Темиртау, Карагандинская область, Казахстан",72.9696415779835,50.0608376749345,,"0",72,27,"0",2026-03-10 12:53:56,2026-03-10 12:57:02,7474030739,Фикс прайс Е 1284
2068,Бэст Прайс Казахстан ТОО г. Кентау Е-1066 ул.  Толе Би стр 70А,"улица Толе Би, 70А, Кентау, Туркестанская область, Казахстан",68.5046022429958,43.5147587523927,,"0",72,38,"0",2026-03-10 18:06:40,2026-03-10 18:06:40,7056260577,Фикс прайс Толе би 70А
2071,ЗАММЛЕР КАЗАХСТАН ТОО ПП-18 ул. Промзона участок 295,"Первомайская промышленная зона, 295В, сельский округ Аскар Токпанов, Илийский район, Алматинская область, Казахстан",76.9011917668648,43.360283849697,,"0",171,2,"0",2026-03-11 10:32:41,2026-03-11 10:32:41,7056260577,Заммлер ПП-18
2073,Карамельный №1,"улица Зенкова, 2А, Алматы, Казахстан",76.91486,43.273564,,"0",176,2,"0",2026-03-12 12:05:43,2026-03-12 12:05:43,7056260577,Карамельный №1
2078,Детский мир -  Казахстан ТОО г. Актау Мечта -2426 12 а мкр 1,"микрорайон 12А, 1, Актау, Мангистауская область, Казахстан",51.156268419209,43.6603436021074,,"0",102,4,"0",2026-03-12 16:46:10,2026-03-12 16:46:10,7702665055,ДМ Мечта Актау 2426
1746,Бэст Прайс Казахстан ТОО г. Экибастуз Е-1194,Момышулы 126,73.050316,49.906165,,"0",72,32,"0",2025-10-07 15:13:55,2026-03-12 16:53:51,7474030739,Фикс Прайс Момышулы
2080,DALA BRAND ТОО г. Кызылорда,"улица Абылая Айдосова, 87, Кызылорда, Казахстан",65.5525284933277,44.8091901973525,,"0",436,14,"0",2026-03-13 09:34:06,2026-03-13 09:34:06,7056260577,Дала Бренд Кызылорда
1806,ТОО ЗАММЛЕР КАЗАХСТАН г. Тараз ПП 1,"улица Сыпатай батыра, 8Б, Тараз, Жамбылская область, Казахстан",71.4051076920696,42.9075073432274,,"0",171,25,"0",2025-11-10 18:07:41,2026-03-13 11:37:18,7011211534,Заммлер ПП 1
2081,"Бэст Прайс Казахстан ТОО г. Алматы Е 1295,  ул. Жансигурова, 118","улица Жансугурова, 118, село Отеген батыра, Илийский район, Алматинская область, Казахстан",77.021587492993,43.4166754490483,,"0",72,2,"0",2026-03-13 17:45:43,2026-03-13 17:45:43,7056260577,"Фикс фрайс  ул. Жансигурова, 118"
92,Тесhпоdоm Operator АО,ул.шухова 46,69.159237,54.905622,,"0",79,18,"0",,2025-08-07 19:22:09,7784964102,"Технодом, Шухова 46"
